0.05%	0.055 M
OX0140:DZ twin	OX0141:MZ twin
OX0142:MZ twin	OX0143:DZ twin
OX0144:DZ twin	OX0145:MZ twin
OX0150:MZ twin	OX0151:DZ twin
OX0166:DZ twin	OX0167:MZ twin
OX0177:MZ twin	OX0178:DZ twin
OX0181:MZ twin	OX0182:DZ twin
OX0182:DZ twin	OX0184:MZ twin
OX0184:MZ twin	OX0186:DZ twin
OX0187:DZ twin	OX0188:MZ twin
OX0203:MZ twin	OX0204:DZ twin
OX0205:DZ twin	OX0206:MZ twin
OX0207:MZ twin	OX0208:DZ twin
OX0223:MZ twin	OX0224:DZ twin
OX0225:DZ twin	OX0226:MZ twin
OX0251:MZ twin	OX0252:DZ twin
OX0253:DZ twin	OX0254:MZ twin
OX0257:MZ twin	OX0258:DZ twin
OX0274:DZ twin	OX0275:MZ twin
OX0278:MZ twin	OX0279:DZ twin
OX0280:DZ twin	OX0281:MZ twin
OXGR	oxt6
P	P/J
P. syringae pv. glycinea strain R4 + avrRpm1	P. syringae pv. glycinea strain R4 + avrRps4
P. syringae pv. glycinea strain R4 + avrRps4	P. syringae pv. glycinea strain R4 + avrRpt2
P. syringae pv. tomato strain DC3000 + avrRpm1	P. syringae pv. tomato strain DC3000 + avrRps4
P. syringae pv. tomato strain DC3000 + avrRps4	P. syringae pv. tomato strain DC3000 + avrRpt2
P/J	P07
P30	p48
p53 -/+	p53 -/-
p53 +/+	p53 -/+
PACLITAXEL x 12	PACLITAXEL x 7 
"PACLITAXEL x 12, FAC x 6"	"PACLITAXEL x 12, FEC x 4"
"PACLITAXEL x 7 , FAC x 4"	"PACLITAXEL x 8 , FEC x 4"
pair-feeding to ZD for 10 days from 5-wk-old	pair-feeding to ZR for 16 days from 5-wk-old
Pam2CK4 stimulation	Pam3CSK4 stimulation
PAMAM-NH2 0.1 micromoles	PAMAM-OH 0.1 micromoles
Paolo	Paul
PC-1 lung squamous cell cancer	pc-10 lung sqamous cell cancer
pc-10	PC-14
PC-3/Mc	PC-3/S
pc-6	PC-7
PC-9	PC12
pc3	PC7
PC3	PDB
pc7 lung non-small cell adenocarcinoma	PC9 lung non-small cell adenocarcinoma
pCO2	pCORthese are part of longer values
pelvis	penis
pen3	penta
peripheral LN_CD4+CD25+	peripheral LN_CD4+CD25-
pF1	pF1fs
Phenytoin 1 micromolar	phenytoin 12 micromolar
Phenytoin 30 micromolar	phenytoin 60 micromolar
pho1 mutant	phr1 mutant
pho3 mutant	phr1 mutant
PKCZ -/-	pkd1 -/-
pkl	pkl-1
Plant P rep A	Plant P rep B
Plant W repA	Plant W repB
plasma B cell	plasma cell
pollen mitosis I (PMI)	pollen mitosis II (PMII)
poly I	poly(I
polyamide 1	Polyamide 2
PolyRF+	PolyRF-
Pon1+/+	Pon1-/-
ponasterone	ponasterone A
poor performers	good performers
PPAR g fl/fl; Lysozyme M cre+	PPAR g fl/fl; Lysozyme M cre-
PPAR g fl/fl; Lysozyme M cre-	PPAR g fl/fl; Lysozyme M cre+
Pre-miR-17	Pre-miR-Co
primary culture	primary culture 1
primary culture C11sx	primary culture C13dx
primary culture C13dx	primary culture C14sx
primary culture C19dx	primary culture C19sx
primary culture C19sx	primary culture C1dx
primary culture C22dx	primary culture C24sx
primary culture C24sx	primary culture C25dx
primary culture C35sx	primary culture C38dx
primary culture C39dx	primary culture C39sx
primary culture C39sx	primary culture C3dx
primary culture C40dx	primary culture C41sx
primary culture C41sx	primary culture C43dx
proliferation	proliferative
protoplast	protoplasted
Pseudomonas syringae pv tomato DC3000(avrRpm1)	Pseudomonas syringae pv tomato DC3000(avrRpt2)
PSG5	pSHR
Pst DC3000 avrRpm1	Pst DC3000 avrRps4
PT Protocol A	PT Protocol B
PT Protocol B	PT Protocol C
PT Protocol C	PT Protocol D
PT Protocol D	PT Protocol E
pT1	pT1a
pT1a	pT1b
pT1b	PT2
pT1b	pT2
pT2	PT2a
PT2	PT2a
PT2a	PT2b
PT2b	PT3
PT2b	pT3
pT3	PT3a
pT3	pT3a
PT3	PT3a
pT3a	PT3b
pT3a	pT3b
PT3a	PT3b
pT3b	PT4a
PT3b	PT4a
PTIP KO	PTIP+
PTPN22 risk allele: C/C	PTPN22 risk allele: C/T
PTPN22 risk allele: C/T	PTPN22 risk allele: T/T
pWER	pWOL
pWER::GFP	pWOL::GFP
pWER::GFP	pWER::GRP
qrt_pcr_areg_dct	qrt_pcr_ereg_dct
Rachel	Rafael
Rag1-/-	RAG-1-/-
RD	RDES
RDES	REC
REC1	Reh
Recombinant Tumor Necrosis Factor-Alpha 1 nanogram per milliliter	Recombinant Tumor Necrosis Factor-Alpha 10 nanograms per milliliter
rectal	rectum
Reh	RKO
relapse 0; ER status ER-; brain relapse 0	relapse 1; ER status ER+; brain relapse 0
relapse 0; ER status ER+; brain relapse 0	relapse 0; ER status ER-; brain relapse 0
relapse 1; ER status ER+; brain relapse 1	relapse 1; ER status ER-; brain relapse 0
RERF-LC-AI	RERF-LC-KJ
RERF-LC-KJ	RERF-LC-MS
RERF-LC-KJ lung non-small cell adenocarcinoma	RERF-LC-MS lung non-small cell adenocarcinoma
Response to chemiotherapy: 'NA'	Response to chemiotherapy: 'No'
right leg	right lung
right or left presomitic mesoderm (posterior half)(a)	right or left presomitic mesoderm (posterior half)(b)
RIP1/rip1	rip1/rip1
RKO	RKOE6
RLI  mutant	rlk1 mutant
RNAi of Gap1	RNAi of GFP
root longitudinal zone	root longitudinal zone 1
RPL12A  RPL12B double deletion and high copy RPL12A	RPL12A  RPL12B double deletion and high copy RPL12B
Rpv1-/Rpv2+	Rpv1-/Rpv2-
Rpv1+/Rpv2-	Rpv1-/Rpv2+
rrd2 mutant	rre1 mutant
saline 5	Saline_1
Sav-0	Se-0
SBC-5	SBC3
SBC-5 lung small cell cancer	SBC3 lung small cell cancer
SBR grade 3	SBR grade NA
Schneider S2	Schneider SL2
scrambled shRNA	scrambled siRNA
SD	UTD
SDHB mutation	SDHD mutation
Seedlings grown for 4 days in darkness and 1 hour in red continuous light	Seedlings grown for 4 days in darkness and 18 hours in red continuous light
senescence	Senescent
sex__f__age__years_	sex__m__age__years_no samples or assays
sexually immature	sexually mature
Sfpq-/-	Sfpq+/-
sh2B-raf (doxycycline inducible)	shB-Raf (doxycycline inducible)
SH4	SHEP
Sha	sham
Shef3	SHEP
SHEP	SHEP-2
SHEP	shGFP
SHEP-2	SHEP-SF
SHHF	SHR
shHMGA2	shhMGA2
sid2 mutant	sid2-2 mutant
sid2-2 mutant	sid2 mutant
siGAM	sim
Sip1c/+;Olig1-Cre	Sip1c/c;Olig1-Cre
sir2 overexpression	Sirt1 overexpression
siVFp(-992)	siVFp(-992)m1
Six1 -/+ Six4 -/+	Six1 -/- Six4 -/-
Six1 +/- Six4 +/-	Six1 -/- Six4 -/-
Six1 +/+ Six4 +/+	Six1 +/- Six4 +/-
SK-MEL-2	sk-mel-28
SK-N-AS	SK-N-MC
SK-N-AS neuroblastoma	SK-N-MC neuroblastoma
SK-N-F1	SK-N-MC
SK+	Ski6
skmel5	SKMES1
SKMEL5	SKMES1
SKMES1	SKMM1
SKNAS	SKNDZ
SKNFI	SKNMc
SL-2	SL2
SL2	SM1
snb-19	SNB-75
SNT8	SNU1
SNU5	SQ-5
SOCS3+/+	SOCS3-/-
SPC3649 1 milligram per kilogram	SPC3649 5 milligrams per kilogram
stage 1	stage 1A
stage 15a	stage 15b
stage 15b	stage 15c
stage 15c	Stage 16
stage 1A	stage 1C
stage 1C	Stage 2
stage 1C	stage 2
Stage 28	stage 5
stage 2A	stage 2B
stage 2a	stage 2B
stage 2B	stage 2C
stage 2C	Stage 3
stage 2C	stage 3
stage 3	stage 3B
stage 3B	stage 3C
stage 3C	stage 3D
stage 3D	Stage 4
stage 3D	stage 4
stage 4	Stage 4s
stage 4	stage I
Stage 4s	Stage I
Stage 4s	stage I
stage 8-10	stages 1-10
Stage I	Stage II
stage I	stage IA
stage I	stage Ia
stage I	stage II
stage Ia	stage Ib
stage Ia	stage IB
stage IA	stage Ib
stage Ib	Stage II
stage IB	stage IC
stage Ib	stage II
stage Ib	stage IC
stage IB	stage Ib
stage IC	stage IIa
stage IC	stage Ic
Stage II	Stage III
stage II	stage II/2
stage II	Stage IIA
stage II	stage III
stage II	stage IIa
stage II/2	Stage IIA
stage IIa	stage IIb
stage IIa	stage IIB
stage IIb	stage Iib/3
stage IIb	Stage III
stage IIB	stage IIC
stage IIb	stage III
stage IIB	stage IIb
stage IIb	stage IIC
stage IIC	stage III
Stage III	Stage IV
stage III	Stage IV
stage III	stage IIIa
stage III	stage IV
stage III/3	stage IIIA
stage IIIa	stage IIIa/2
stage IIIa	stage IIIB
stage IIIa	stage IIIb
stage IIIb	stage IIIb/2
stage IIIb	stage IIIC
stage IIIb/3	stage IIIc/1
Stage IV	stage IV/2
staphylococcal superantigen SEB	staphylococcal superantigen SEI
staphylococcal superantigen SEB 100 picograms per milliliter	staphylococcal superantigen SEI 100 picograms per milliliter
stele	stem
stn7-1	str6-1
stress_2fflow_condition	stress_flow_conditionno samples or assays for second one
Su-dhl1	SUDHL10
survival: 0 months	survival: 1 month
survival: 1 month	survival: 10 months
survival: 20 months	survival: 21 month
survival: 21 month	survival: 22 months
survival: 30 months	survival: 31 month
survival: 31 month	survival: 32 months
survival: 60 months	survival: 61 month
survival: 61 month	survival: 64 months
SVG-A	SVGR2
sw620	SW684
T1	T1N0
T1aN0M0	T1bN0M0
T1N2	T1N2b
T1N2b	T1N2bM0
T2+	T2N0
T2N0	T2N0G2
T2N0G3	T2N0M0
T2N1	T2N1G1
T2N2	T2N2G3
T3aN0M0	T3aN0Mx
T3aN0Mx	T3aN1M0
T3aN1M0	T3aNxM1
T3aNxM1	T3aNxMx
T3b	T3N0
T3N0	T3N0G3
T3N0G3	T3N0Gu
T3N0Gu	T3N0M0
T3N1	T3N1G2
T3N2	T3N2b
T3N2b	T3N2bM0
T3N2c	T3N2G2
T3N2G2	T3N2M1
T47D	T87
T4a	T4aN0
T4aN0	T4aN0M0
T4aN2	T4aN2b
T4aN2b	T4aN2M0
T4aN2M1	T4aN2Mx
T4aN2Mx	T4aNxMx
T4N0G2	T4N0Gu
T4N0Gu	T4N0M0
T4N1G3	T4N1M0
T4N2b	T4N2bM0
T4N2bM0	T4N2M0
T84	T98G
T87	T98G
TaT	TaY
TAT-BH4 peptide	TAT-BH4D2 peptide
TAT-BH4 peptide 1 micromolar	TAT-BH4D2 peptide 1 micromolar
"Taxol 80 mg/m2 x12 , FAC X6"	"Taxol 80 mg/m2 x12 , FEC X4"
"Taxol 80 mg/m2 x12, FAC X 4"	"Taxol 80 mg/m2 x12, FEC X 4"
Taxol 80 weekly x 11	Taxol 80 weekly X 12
"Taxol 80 weekly X 12, FAC X 6"	"Taxol 80 weekly x 12, FAC x4"
"Taxol 80mg/m2. q weekly x 12, FAC X 4"	"Taxol 80mg/m2.q weekly x 12, FAC X 4"
"Taxol 80mg/m2.q weekly x 12, FAC X 4"	"Taxol 80mg/m2.q.weekly x12, FAC X 4"
"Taxol q 3wk (225mg/m2) x 4, FAC x4"	"Taxol q 3wk (225mg/m2) x4, FAC x4"
"Taxol q 3wk (225mg/m2) x4, FAC x4"	"Taxol q 3wk (225mg/m2) x4, Fac x4"
Taxol q wk (80g/m2) x12	Taxol q wk (80mg/m2) x12
"Taxol q wk (80g/m2) x12, FAC x4"	"Taxol q wk (80mg/m2) x12, FAC x4"
Taxol q.3 week x 4 FAC x 4	Taxol q.3 week x 4 FEC  x 4
"Taxol weekly x 12, FACX 4"	"Taxol weeklyx 12, FAC x 4"
Taxol x 12 FAC x 6	Taxol x 12 FEC x 4
TCP4p::rTCP4:GFP	TCP4p::wtTCP4:GFP
te85	TERV
TE85	TERV
temporal lobe	temporal pole
Terc+/+/Ku86+/+	Terc+/+/Ku86-/-
tg +/-	tg -/-
tg/g	tg/wt
TgA	TgB
TGF-beta	TGF-Beta1
tgHuPON1Q192	tgHuPON1R192
TH/FAC	TH/FEC
Thoratec (biVAD)	Thoratec (iVAD)
thymocyte	thyrocyte
TIA-1 siRNA	TIAR siRNA
TK10	TMK1
TNF	TNFa
TNRC6A	TNRC6B
TNRC6B	TNRC6C
toc1 mutant	Toc33 mutant
total_hip_t_score	total_hip_z_score
transduction	transfection
transforming growth factor beta	transforming growth factor beta 1
Trichuris muris isolate E	Trichuris muris isolate N
Trichuris muris isolate N	Trichuris muris isolate S
trigeminal ganglion	trigeminal V ganglion
trilinolein	trilinolenin
trisomy 8	trisomy Y
TT	TT3E
Tu8988S	Tu8988T
TuBo	tumor
tumor necrosis factor	tumor necrosis factor a
tumor stage: T3a	tumor stage: T3aN1
type 2A	type 2B
type A spermatogonia	type B spermatogonia
type I diabetes mellitus	type II diabetes mellitus
type I endometrial adenocarcinoma	type II endometrial adenocarcinoma
type I helper T cell	type II helper T cell
U19/Eaf2 +/+	U19/Eaf2 -/-
U266	U266B1
U87	U87L4
U87L4	U87MG
U87MG	U87R4
UACC-62	UACC812
Ucn II_3	Ucn I_1
UMRC3	UMUC3
undifferentiated ES cells	undifferentiated MEF cells
uninfected	uninfested
urocortin I	urocortin II
urocortin I 15 micrograms per kilogram	urocortin II 15 micrograms per kilogram
UV-A light pulse	UV-A/B light pulse
vaccinia virus delE3L	vaccinia virus delK3L
vaccinia virus E3L Y48A	vaccinia virus E3L Y48F
VAL	VCaP
vascular endothelial growth factor	vascular endothelial growth factor-A
ventricular assist device: Thoratec (biVAD)	ventricular assist device: Thoratec (iVAD)
vitamin A	vitamin E
W303-1a	W303-1B
Wassilewskija	Wassilewskija-0
WE 68	WI38
WFS1 KO	WFS1 WT
WHO grade III	WHO grade IV
Wi38	WIDR
WIBR7	WIDR
wild_type AB	wild_type DT
wild_type DT	wild_type EDT
wild_type FH	wild_type FY4
wild type huntingtin; p62 -/-	wild type huntingtin; p62 +/+
wild type huntingtin; p62 +/+	wild type huntingtin; p62 -/-
WL	WOL
Ws	Ws-2
Ws	Ws-0
WT mix background A	WT mix background B
X chromosome (OdsH locus) F variant from D. mauritiana	X chromosome (OdsH locus) S variant from D. mauritiana
"X,X"	"X,Y"
Xanthomonas oryzae PXO99A	Xanthomonas oryzae PXO99A-2
y	y w
y+ w roX1+ roX2-/y	y+ w roX1- roX2-/y
y+ w roX1- roX2-/y	y+ w roX1+ roX2-/y
YAP	yda
YAPC	YPAC
YPA media	YPD media
ZAP-70+CD38+	ZAP-70-CD38-
Zbp1-/-Eu-Myc	Zbp1+/+Eu-Myc
Zbp1+/+Eu-Myc	Zbp1-/-Eu-Myc
ZD group	ZR group
Zebrafish regenerating heart after 1 day post-amputation	Zebrafish regenerating heart after 3 days post-amputation
ZR group	ZS group
ZR75	ZR75-1
ZR75-1	ZR7530
ZR7530	ZR75B
ZR7530 breast cancer	ZR75B breast cancer
ZT1	CA1
